scene,method,accuracy,mean_iou,mean_f1,internal_silhouette,internal_davies_bouldin,internal_calinski_harabasz,internal_inertia,evaluation_type,primary_score,tp,tn,fp,fn,precision,recall,f1,dice,iou
scene1,kmeans_rgb_xy_k4,0.6257983391595499,0.505713000107824,0.6429219222378446,0.3948841691017151,0.9879899562208596,232645.4419257667,26379.12939453125,multi-class,mean_iou,,,,,,,,,
scene2,high_percentile_94_largest_component,0.958750215291152,,,,,,,binary,iou,1401.0,121064.0,3521.0,1748.0,0.2846403900853311,0.4449031438551921,0.3471688762235163,0.3471688762235163,0.2100449775112443
scene3,tai_hsv_s20_v150_open,0.980215603743762,,,,,,,binary,iou,1009.0,164570.0,672.0,2670.0,0.6002379535990482,0.2742593095949986,0.3764925373134329,0.3764925373134329,0.2319007124798897
scene4,kmeans_rgb_extra_xy_k5,0.9546432110652712,,,,,,,binary,iou,29210.0,242449.0,3169.0,9738.0,0.9021279224188518,0.7499743247406799,0.8190446815371459,0.8190446815371459,0.693544174561341
