cluster,pixel_count,area_ratio,mean_r,mean_g,mean_b,mean_x,mean_y,semantic_label_heuristic
0,54646,0.20150596634069354,79.39825421805804,82.5685137064012,65.8994436921275,0.642110660874487,0.30077982712348,chat
1,55063,0.20304364499904126,231.70982329331855,235.5876541416196,240.0029239235058,0.4180808266920369,0.14069117829605113,ciel
2,78107,0.2880179063970382,123.00628624835161,128.37306515421153,90.90324810836417,0.7542910741212873,0.7102837384455027,arbres
3,83372,0.307432482263227,118.80434678309264,123.40199347502758,87.04151273808952,0.22272493570164772,0.670879614951446,sol
