class,precision,recall,f1,iou
0,0.7944393801276208,0.5491402324771585,0.649397507672095,0.4808206051454788
1,0.3017911326769688,0.4144600344621444,0.3492639704847349,0.2115807520038776
2,0.8338993516517443,0.9999782220479986,0.9094186034996681,0.833884207467674
3,0.6219302419207261,0.7112720271231845,0.6636076072948802,0.49656643581426607
